ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;Tags,(x,y,z...);Feature(Name:Value:Position)
63;1;Chilika (Nalaban)  Wildlife Sanctuary;8;Khurda,Ganjam;Khurda,Ganjam,Chilika,(Nalaban),Wildlife,Sanctuary;State:,Dist/Location:
64;1;Debrigarh  Wildlife Sanctuary;8;Bargarh;Bargarh,Debrigarh,Wildlife,Sanctuary;State:,Dist/Location:
65;1;Gahirmatha (Marine)  Wildlife Sanctuary;8;Kendrapada;Kendrapada,Gahirmatha,(Marine),Wildlife,Sanctuary;State:,Dist/Location:
66;1;Hadgarh  Wildlife Sanctuary;8;Keonjhar;Keonjhar,Hadgarh,Wildlife,Sanctuary;State:,Dist/Location:
67;1;Karlapat  Wildlife Sanctuary;8;Kalahandi,Bhabanipatna;Kalahandi,Bhabanipatna,Karlapat,Wildlife,Sanctuary;State:,Dist/Location:
68;1;Khalasuni  Wildlife Sanctuary;8;Sambalpur;Sambalpur,Khalasuni,Wildlife,Sanctuary;State:,Dist/Location:
69;1;Kotagarh  Wildlife Sanctuary;8;Kandhamal;Kandhamal,Kotagarh,Wildlife,Sanctuary;State:,Dist/Location:
70;1;Kuldiha  Wildlife Sanctuary;8;Baleswar;Baleswar,Kuldiha,Wildlife,Sanctuary;State:,Dist/Location:
71;1;Lakhari Valley  Wildlife Sanctuary;8;Ganjam;Ganjam,Lakhari,Valley,Wildlife,Sanctuary;State:,Dist/Location:
72;1;Satkosia Gorge  Wildlife Sanctuary;8;Anugul;Anugul,Satkosia,Gorge,Wildlife,Sanctuary;State:,Dist/Location:
73;1;Sunabeda  Wildlife Sanctuary;8;Nuapada;Nuapada,Sunabeda,Wildlife,Sanctuary;State:,Dist/Location:
74;1;Gahirmatha Beach;8;Kendrapada;Kendrapada,Gahirmatha,Beach;State:,Dist/Location:
