ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
500;1;Coorg;8;Kodagu;Karnataka;Coorg,Kodagu,Karnataka;State:Karnataka,Dist/Location:Kodagu
501;1;Hubli-Dharwad;8;Hubli & Dharwad;Karnataka;Hubli-Dharwad,Hubli,&,Dharwad,Karnataka;State:Karnataka,Dist/Location:Hubli & Dharwad
502;1;Vidhana Soudha;8;Bangalore;Karnataka;Vidhana,Soudha,Bangalore,Karnataka;State:Karnataka,Dist/Location:Bangalore
503;1;Government Museum;8;Bangalore;Karnataka;Government,Museum,Bangalore,Karnataka;State:Karnataka,Dist/Location:Bangalore
504;1;Cubbon Park;8;Bangalore;Karnataka;Cubbon,Park,Bangalore,Karnataka;State:Karnataka,Dist/Location:Bangalore
505;1;Lal Bagh Gardens;8;Bangalore;Karnataka;Lal,Bagh,Gardens,Bangalore,Karnataka;State:Karnataka,Dist/Location:Bangalore
506;1;The Jawaharlal Nehru Planetarium;8;Bangalore;Karnataka;The,Jawaharlal,Nehru,Planetarium,Bangalore,Karnataka;State:Karnataka,Dist/Location:Bangalore
507;1;The Bull Temple;8;Bangalore;Karnataka;The,Bull,Temple,Bangalore,Karnataka;State:Karnataka,Dist/Location:Bangalore
508;1;Amba Vilas Palace;8;Mysore;Karnataka;Amba,Vilas,Palace,Mysore,Karnataka;State:Karnataka,Dist/Location:Mysore
509;1;Mysore Zoo;8;Mysore;Karnataka;Mysore,Zoo,Mysore,Karnataka;State:Karnataka,Dist/Location:Mysore
510;1;Brindavan Gardens;8;Mysore;Karnataka;Brindavan,Gardens,Mysore,Karnataka;State:Karnataka,Dist/Location:Mysore
511;1;Krishnaraja Sagara Dam;8;Mysore;Karnataka;Krishnaraja,Sagara,Dam,Mysore,Karnataka;State:Karnataka,Dist/Location:Mysore
512;1;Iruppu WaterWaterfalls;8;Coorg;Karnataka;Iruppu,WaterWaterfalls,Coorg,Karnataka;State:Karnataka,Dist/Location:Coorg
513;1;Raja's Seat;8;Coorg;Karnataka;Raja's,Seat,Coorg,Karnataka;State:Karnataka,Dist/Location:Coorg
514;1;Abbey Waterfalls;8;Coorg;Karnataka;Abbey,Waterfalls,Coorg,Karnataka;State:Karnataka,Dist/Location:Coorg
515;1;Kudremukh National Park;8;Chikmagalur;Karnataka;Kudremukh,National,Park,Chikmagalur,Karnataka;State:Karnataka,Dist/Location:Chikmagalur
516;1;Sharadamba Temple;8;Chikmagalur;Karnataka;Sharadamba,Temple,Chikmagalur,Karnataka;State:Karnataka,Dist/Location:Chikmagalur
517;1;Mullayanagiri;8;Chikmagalur;Karnataka;Mullayanagiri,Chikmagalur,Karnataka;State:Karnataka,Dist/Location:Chikmagalur
518;1;Karkala;8;Mangalore;Karnataka;Karkala,Mangalore,Karnataka;State:Karnataka,Dist/Location:Mangalore
519;1;Mudabidiri;8;Mangalore;Karnataka;Mudabidiri,Mangalore,Karnataka;State:Karnataka,Dist/Location:Mangalore
520;1;Sringeri;8;Mangalore;Karnataka;Sringeri,Mangalore,Karnataka;State:Karnataka,Dist/Location:Mangalore
521;1;Onake Abbi Waterfalls;8;Udupi;Karnataka;Onake,Abbi,Waterfalls,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
522;1;Kudlu Theertha Waterfalls;8;Udupi;Karnataka;Kudlu,Theertha,Waterfalls,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
523;1;Jomlu Theertha Waterfalls;8;Udupi;Karnataka;Jomlu,Theertha,Waterfalls,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
524;1;Jogi Gundi Waterfalls;8;Udupi;Karnataka;Jogi,Gundi,Waterfalls,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
525;1;Barkana Waterfalls;8;Udupi;Karnataka;Barkana,Waterfalls,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
526;1;Achakanya Waterfalls;8;Udupi;Karnataka;Achakanya,Waterfalls,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
527;1;Ambutheertha;8;Udupi;Karnataka;Ambutheertha,Udupi,Karnataka;State:Karnataka,Dist/Location:Udupi
528;1;Balmuri And Edumuri WaterWaterfalls;8;Srirangapatna;Karnataka;Balmuri,And,Edumuri,WaterWaterfalls,Srirangapatna,Karnataka;State:Karnataka,Dist/Location:Srirangapatna
529;1;Sirimane Waterfalls;8;Sringeri;Karnataka;Sirimane,Waterfalls,Sringeri,Karnataka;State:Karnataka,Dist/Location:Sringeri
530;1;Hanuman Gundi Waterfalls;8;Sringeri;Karnataka;Hanuman,Gundi,Waterfalls,Sringeri,Karnataka;State:Karnataka,Dist/Location:Sringeri
531;1;Chunchanakatte Waterfalls;8;Mysore;Karnataka;Chunchanakatte,Waterfalls,Mysore,Karnataka;State:Karnataka,Dist/Location:Mysore
532;1;Koosalli WaterWaterfalls;8;Murudeshwar;Karnataka;Koosalli,WaterWaterfalls,Murudeshwar,Karnataka;State:Karnataka,Dist/Location:Murudeshwar
533;1;Hidlumane Waterfalls;8;Murudeshwar;Karnataka;Hidlumane,Waterfalls,Murudeshwar,Karnataka;State:Karnataka,Dist/Location:Murudeshwar
534;1;Kudumari / Chaktikal WaterWaterfalls;8;Murudeshwar;Karnataka;Kudumari,/,Chaktikal,WaterWaterfalls,Murudeshwar,Karnataka;State:Karnataka,Dist/Location:Murudeshwar
535;1;Arisina Gundi Waterfalls;8;Murudeshwar;Karnataka;Arisina,Gundi,Waterfalls,Murudeshwar,Karnataka;State:Karnataka,Dist/Location:Murudeshwar
536;1;Apsara Konda Waterfalls;8;Murudeshwar;Karnataka;Apsara,Konda,Waterfalls,Murudeshwar,Karnataka;State:Karnataka,Dist/Location:Murudeshwar
537;1;Shanti Waterfalls;8;Kemmanagundi;Karnataka;Shanti,Waterfalls,Kemmanagundi,Karnataka;State:Karnataka,Dist/Location:Kemmanagundi
538;1;Kalhatti / Kalhattagiri / Kalahasthi Waterfalls;8;Kemmanagundi;Karnataka;Kalhatti,/,Kalhattagiri,/,Kalahasthi,Waterfalls,Kemmanagundi,Karnataka;State:Karnataka,Dist/Location:Kemmanagundi
539;1;Hebbe Waterfalls;8;Kemmanagundi;Karnataka;Hebbe,Waterfalls,Kemmanagundi,Karnataka;State:Karnataka,Dist/Location:Kemmanagundi
540;1;Unchalli Waterfalls;8;Sirsi;Karnataka;Unchalli,Waterfalls,Sirsi,Karnataka;State:Karnataka,Dist/Location:Sirsi
541;1;Bennehole Waterfalls;8;Sirsi;Karnataka;Bennehole,Waterfalls,Sirsi,Karnataka;State:Karnataka,Dist/Location:Sirsi
542;1;Mallali Waterfalls;8;Coorg;Karnataka;Mallali,Waterfalls,Coorg,Karnataka;State:Karnataka,Dist/Location:Coorg
543;1;Ganges;8;;Uttar Pradesh;Ganges,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:
544;1;Tomb of I'timad-ud-Daulah;8;Agra;Uttar Pradesh;Tomb,of,I'timad-ud-Daulah,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
545;1;Agra Fort;8;Agra;Uttar Pradesh;Agra,Fort,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
546;1;Kashi Vishwanath Temple;8;Varanasi;Uttar Pradesh;Kashi,Vishwanath,Temple,Varanasi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varanasi
547;1;Tomb of Akbar the Great;8;Agra;Uttar Pradesh;Tomb,of,Akbar,the,Great,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
548;1;Manikarnika Ghat;8;Varansi;Uttar Pradesh;Manikarnika,Ghat,Varansi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varansi
549;1;Dhamek Stupa;8;Varanasi;Uttar Pradesh;Dhamek,Stupa,Varanasi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varanasi
550;1;Mehtab Bagh;8;Agra;Uttar Pradesh;Mehtab,Bagh,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
551;1;Panch Mahal;8;Fatehpur;Uttar Pradesh;Panch,Mahal,Fatehpur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Fatehpur
552;1;Shri Krishna Janmabhoomi;8;Mathura;Uttar Pradesh;Shri,Krishna,Janmabhoomi,Mathura,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mathura
