ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;Tags,(x,y,z...);Feature(Name:Value:Position)
1;1;Taj mahal;4,8;Agra;Agra,Taj,mahal;State:Uttar Pradesh,Dist/Location:Agra
8;1;Puri Jagannath;4,8;Puri;Puri,Puri,Jagannath;State:Odisha,Dist/Location:Puri
9;1;Konak sun Temple;4,8;Khurda;Khurda,Konak,sun,Temple;State:Odisha,Dist/Location:Khurda
10;1;Chilika lake;4,8;Khurda,Ganjam;Khurda,Ganjam,Chilika,lake;State:Odisha,Dist/Location:Khurda & Ganjam
11;1;Lingaraj Temple;4,8;Khurda;Khurda,Lingaraj,Temple;State:Odisha,Dist/Location:Khurda
12;1;Puri Beach;4,8;Puri;Puri,Puri,Beach;State:Odisha,Dist/Location:Puri
13;1;Lokonatha Shiv temple;4,8;Puri;Puri,Lokonatha,Shiv,temple;State:Odisha,Dist/Location:Puri
14;1;Mata Matha;4,8;Puri;Puri,Mata,Matha;State:Odisha,Dist/Location:Puri
15;1;Dhauligiri Caves;4,8;Khurda;Khurda,Dhauligiri,Caves;State:Odisha,Dist/Location:Khurda
16;1;Udayagiri Caves;4,8;Khurda;Khurda,Udayagiri,Caves;State:Odisha,Dist/Location:Khurda
17;1;Kandagiri Caves;4,8;Khurda;Khurda,Kandagiri,Caves;State:Odisha,Dist/Location:Khurda
18;1;Raja Rani Temple;4,8;Khurda;Khurda,Raja,Rani,Temple;State:Odisha,Dist/Location:Khurda
19;1;Similipal National Park;4,8;Mayurbhanj;Mayurbhanj,Similipal,National,Park;State:Odisha,Dist/Location:Mayurbhanj
20;1;Nandan Kanan;4,8;Bhubaneswar;Bhubaneswar,Nandan,Kanan;State:Odisha,Dist/Location:Bhubaneswar
21;1;Barabati Durga;4,8;Cuttack;Cuttack,Barabati,Durga;State:Odisha,Dist/Location:Cuttack
22;1;Ratna Giri;4,8;Jajpur;Jajpur,Ratna,Giri;State:Odisha,Dist/Location:Jajpur
23;1;Kapilasa;4,8;Dhenkanal;Dhenkanal,Kapilasa;State:Odisha,Dist/Location:Dhenkanal
24;1;Sapta Sajya;4,8;Dhenkanal;Dhenkanal,Sapta,Sajya;State:Odisha,Dist/Location:Dhenkanal
25;1;Khandadhar;4,8;Keonjhar;Keonjhar,Khandadhar;State:Odisha,Dist/Location:Keonjhar
26;1;Joranda Gadi;4,8;Dhenkanal;Dhenkanal,Joranda,Gadi;State:Odisha,Dist/Location:Dhenkanal
27;1;Kalijai Temple;4,8;Khurdha;Khurdha,Kalijai,Temple;State:Odisha,Dist/Location:Khurdha
28;1;Puri Baliharchandi Temple;4,8;Puri;Puri,Puri,Baliharchandi,Temple;State:Odisha,Dist/Location:Puri
29;1;Daringbadi;4,8;Phulbani;Phulbani,Daringbadi;State:Odisha,Dist/Location:Phulbani
30;1;Paradeep Port;4,8;Jagatsinghpur;Jagatsinghpur,Paradeep,Port;State:Odisha,Dist/Location:Jagatsinghpur
