ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;Tags,(x,y,z...);Feature(Name:Value:Position)
31;1;Gopalapur Port;4,8;Ganjam;Ganjam,Gopalapur,Port;State:Odisha,Dist/Location:Ganjam
32;1;Kolab Dam;4,8;Koraput;Koraput,Kolab,Dam;State:Odisha,Dist/Location:Koraput
33;1;Duduma Waterfall;4,8;Koraput;Koraput,Duduma,Waterfall;State:Odisha,Dist/Location:Koraput
34;1;Gupteswara;4,8;Koraput;Koraput,Gupteswara;State:Odisha,Dist/Location:Koraput
35;1;Tikarpada;4,8;Anugul;Anugul,Tikarpada;State:Odisha,Dist/Location:Anugul
36;1;Hirakud Dam;4,8;Sambalpur;Sambalpur,Hirakud,Dam;State:Odisha,Dist/Location:Sambalpur
37;1;Sanaghagara Waterfall;4,8;Keonjhar;Keonjhar,Sanaghagara,Waterfall;State:Odisha,Dist/Location:Keonjhar
38;1;Badaghagara Waterfall;4,8;Keonjhar;Keonjhar,Badaghagara,Waterfall;State:Odisha,Dist/Location:Keonjhar
39;1;Maa Tarini Temple ,Ghatgaon;4,8;Keonjhar;Keonjhar,Maa,Tarini,Temple,Ghatgaon;State:Odisha,Dist/Location:Keonjhar
40;1;Taptapani;4,8;Ganjam;Ganjam,Taptapani;State:Odisha,Dist/Location:Ganjam
41;1;Panchalingeswar;4,8;Baleswar;Baleswar,Panchalingeswar;State:Odisha,Dist/Location:Baleswar
42;1;Devkund;4,8;Mayurbhanj;Mayurbhanj,Devkund;State:Odisha,Dist/Location:Mayurbhanj
43;1;Harishankar Waterfall;4,8;Balangir;Balangir,Harishankar,Waterfall;State:Odisha,Dist/Location:Balangir
44;1;Pradhanpath Waterfall;4,8;Deogarh;Deogarh,Pradhanpath,Waterfall;State:Odisha,Dist/Location:Deogarh
45;1;Hatipathar Waterfall;4,8;Rayagada;Rayagada,Hatipathar,Waterfall;State:Odisha,Dist/Location:Rayagada
46;1;Phurli Jharan Waterfall;4,8;Kalahandi,Bhabanipatna;Kalahandi,Bhabanipatna,Phurli,Jharan,Waterfall;State:Odisha,Dist/Location:Kalahandi & Bhabanipatna
47;1;Nrusimhanath Waterfall;4,8;Bargarh;Bargarh,Nrusimhanath,Waterfall;State:Odisha,Dist/Location:Bargarh
48;1;Mruga Mahadev Waterfall;4,8;Keonjhar;Keonjhar,Mruga,Mahadev,Waterfall;State:Odisha,Dist/Location:Keonjhar
49;1;Handibhanga Waterfall;4,8;Mayurbhanj;Mayurbhanj,Handibhanga,Waterfall;State:Odisha,Dist/Location:Mayurbhanj
50;1;Khanduala Waterfall;4,8;Kalahandi,Bhabanipatna;Kalahandi,Bhabanipatna,Khanduala,Waterfall;State:Odisha,Dist/Location:Kalahandi & Bhabanipatna
51;1;Miriglotah Waterfall;4,8;Rourkela;Rourkela,Miriglotah,Waterfall;State:Odisha,Dist/Location:Rourkela
52;1;Putudi Waterfall;4,8;Phulbani;Phulbani,Putudi,Waterfall;State:Odisha,Dist/Location:Phulbani
53;1;Maa Chandi Temple;4,8;Cuttack;Cuttack,Maa,Chandi,Temple;State:Odisha,Dist/Location:Cuttack
54;1;Dhabaleswara Temple;4,8;Cuttack;Cuttack,Dhabaleswara,Temple;State:Odisha,Dist/Location:Cuttack
55;1;Barehipani Waterfalls;4,8;Mayurbhanj;Mayurbhanj,Barehipani,Waterfalls;State:Odisha,Dist/Location:Mayurbhanj
56;1;Bagra Waterfall;4,8;Koraput;Koraput,Bagra,Waterfall;State:Odisha,Dist/Location:Koraput
57;1;Bhitarkanika National Forest;8;Kendrapada;Kendrapada,Bhitarkanika,National,Forest;State:Odisha,Dist/Location:Kendrapada
58;1;Ushakothi,Badrama  Wildlife Sanctuary;8;Sambalpur;Sambalpur,Ushakothi,Badrama,Wildlife,Sanctuary;State:Odisha,Dist/Location:Sambalpur
59;1;Baisipalli  Wildlife Sanctuary;8;Nayagarh;Nayagarh,Baisipalli,Wildlife,Sanctuary;State:Odisha,Dist/Location:Nayagarh
60;1;Balukhand Konark  Wildlife Sanctuary;8;Puri;Puri,Balukhand,Konark,Wildlife,Sanctuary;State:Odisha,Dist/Location:Puri
61;1;Bhitarkanika  Wildlife Sanctuary;8;Kendrapada;Kendrapada,Bhitarkanika,Wildlife,Sanctuary;State:Odisha,Dist/Location:Kendrapada
62;1;Chandaka Dampara  Wildlife Sanctuary;8;Bhubaneswar;Bhubaneswar,Chandaka,Dampara,Wildlife,Sanctuary;State:Odisha,Dist/Location:Bhubaneswar
63;1;Chilika (Nalaban)  Wildlife Sanctuary;8;Khurda,Ganjam;Khurda,Ganjam,Chilika,(Nalaban),Wildlife,Sanctuary;State:Odisha,Dist/Location:Khurda & Ganjam
64;1;Debrigarh  Wildlife Sanctuary;8;Bargarh;Bargarh,Debrigarh,Wildlife,Sanctuary;State:Odisha,Dist/Location:Bargarh
65;1;Gahirmatha (Marine)  Wildlife Sanctuary;8;Kendrapada;Kendrapada,Gahirmatha,(Marine),Wildlife,Sanctuary;State:Odisha,Dist/Location:Kendrapada
66;1;Hadgarh  Wildlife Sanctuary;8;Keonjhar;Keonjhar,Hadgarh,Wildlife,Sanctuary;State:Odisha,Dist/Location:Keonjhar
67;1;Karlapat  Wildlife Sanctuary;8;Kalahandi,Bhabanipatna;Kalahandi,Bhabanipatna,Karlapat,Wildlife,Sanctuary;State:Odisha,Dist/Location:Kalahandi & Bhabanipatna
68;1;Khalasuni  Wildlife Sanctuary;8;Sambalpur;Sambalpur,Khalasuni,Wildlife,Sanctuary;State:Odisha,Dist/Location:Sambalpur
69;1;Kotagarh  Wildlife Sanctuary;8;Kandhamal;Kandhamal,Kotagarh,Wildlife,Sanctuary;State:Odisha,Dist/Location:Kandhamal
70;1;Kuldiha  Wildlife Sanctuary;8;Baleswar;Baleswar,Kuldiha,Wildlife,Sanctuary;State:Odisha,Dist/Location:Baleswar
71;1;Lakhari Valley  Wildlife Sanctuary;8;Ganjam;Ganjam,Lakhari,Valley,Wildlife,Sanctuary;State:Odisha,Dist/Location:Ganjam
72;1;Satkosia Gorge  Wildlife Sanctuary;8;Anugul;Anugul,Satkosia,Gorge,Wildlife,Sanctuary;State:Odisha,Dist/Location:Anugul
73;1;Sunabeda  Wildlife Sanctuary;8;Nuapada;Nuapada,Sunabeda,Wildlife,Sanctuary;State:Odisha,Dist/Location:Nuapada
74;1;Gahirmatha Beach;8;Kendrapada;Kendrapada,Gahirmatha,Beach;State:Odisha,Dist/Location:Kendrapada
