ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
53;1;Maa Chandi Temple;4,8;Cuttack;Odisha;Cuttack,Maa,Chandi,Temple;State:Odisha,Dist/Location:Cuttack
54;1;Dhabaleswara Temple;4,8;Cuttack;Odisha;Cuttack,Dhabaleswara,Temple;State:Odisha,Dist/Location:Cuttack
55;1;Barehipani Waterfalls;4,8;Mayurbhanj;Odisha;Mayurbhanj,Barehipani,Waterfalls;State:Odisha,Dist/Location:Mayurbhanj
56;1;Bagra Waterfall;4,8;Koraput;Odisha;Koraput,Bagra,Waterfall;State:Odisha,Dist/Location:Koraput
57;1;Bhitarkanika National Forest;8;Kendrapada;Odisha;Kendrapada,Bhitarkanika,National,Forest;State:Odisha,Dist/Location:Kendrapada
58;1;Ushakothi,Badrama  Wildlife Sanctuary;8;Sambalpur;Odisha;Sambalpur,Ushakothi,Badrama,Wildlife,Sanctuary;State:Odisha,Dist/Location:Sambalpur
59;1;Baisipalli  Wildlife Sanctuary;8;Nayagarh;Odisha;Nayagarh,Baisipalli,Wildlife,Sanctuary;State:Odisha,Dist/Location:Nayagarh
60;1;Balukhand Konark  Wildlife Sanctuary;8;Puri;Odisha;Puri,Balukhand,Konark,Wildlife,Sanctuary;State:Odisha,Dist/Location:Puri
61;1;Bhitarkanika  Wildlife Sanctuary;8;Kendrapada;Odisha;Kendrapada,Bhitarkanika,Wildlife,Sanctuary;State:Odisha,Dist/Location:Kendrapada
62;1;Chandaka Dampara  Wildlife Sanctuary;8;Bhubaneswar;Odisha;Bhubaneswar,Chandaka,Dampara,Wildlife,Sanctuary;State:Odisha,Dist/Location:Bhubaneswar
63;1;Chilika (Nalaban)  Wildlife Sanctuary;8;Khurda,Ganjam;Odisha;Khurda,Ganjam,Chilika,(Nalaban),Wildlife,Sanctuary;State:Odisha,Dist/Location:Khurda & Ganjam
64;1;Debrigarh  Wildlife Sanctuary;8;Bargarh;Odisha;Bargarh,Debrigarh,Wildlife,Sanctuary;State:Odisha,Dist/Location:Bargarh
