ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;Tags (x,y,z...);Tags (x,y,z...)
64;1;Debrigarh  Wildlife Sanctuary;8;Bargarh;Debrigarh  Wildlife Sanctuary;Bargarh,Debrigarh  Wildlife Sanctuary
65;1;Gahirmatha (Marine)  Wildlife Sanctuary;8;Kendrapada;Gahirmatha (Marine)  Wildlife Sanctuary;Kendrapada,Gahirmatha (Marine)  Wildlife Sanctuary
66;1;Hadgarh  Wildlife Sanctuary;8;Keonjhar;Hadgarh  Wildlife Sanctuary;Keonjhar,Hadgarh  Wildlife Sanctuary
67;1;Karlapat  Wildlife Sanctuary;8;Kalahandi,Bhabanipatna;Karlapat  Wildlife Sanctuary;Kalahandi,Bhabanipatna,Karlapat  Wildlife Sanctuary
68;1;Khalasuni  Wildlife Sanctuary;8;Sambalpur;Khalasuni  Wildlife Sanctuary;Sambalpur,Khalasuni  Wildlife Sanctuary
69;1;Kotagarh  Wildlife Sanctuary;8;Kandhamal;Kotagarh  Wildlife Sanctuary;Kandhamal,Kotagarh  Wildlife Sanctuary
70;1;Kuldiha  Wildlife Sanctuary;8;Baleswar;Kuldiha  Wildlife Sanctuary;Baleswar,Kuldiha  Wildlife Sanctuary
71;1;Lakhari Valley  Wildlife Sanctuary;8;Ganjam;Lakhari Valley  Wildlife Sanctuary;Ganjam,Lakhari Valley  Wildlife Sanctuary
72;1;Satkosia Gorge  Wildlife Sanctuary;8;Anugul;Satkosia Gorge  Wildlife Sanctuary;Anugul,Satkosia Gorge  Wildlife Sanctuary
73;1;Sunabeda  Wildlife Sanctuary;8;Nuapada;Sunabeda  Wildlife Sanctuary;Nuapada,Sunabeda  Wildlife Sanctuary
74;1;Gahirmatha Beach;8;Kendrapada;Gahirmatha Beach;Kendrapada,Gahirmatha Beach
